2019-06-27T19:58:41.789+0800	info	DefaultLogger init success
2019-06-27T19:59:20.353+0800	info	DefaultLogger init success
2019-06-27T19:59:21.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:22.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:23.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:24.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:25.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:26.354+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:27.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:28.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:29.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:30.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:31.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:32.355+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:33.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:34.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:35.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:36.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:37.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:38.356+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:39.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:40.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:41.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:42.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:43.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:44.357+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:45.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:46.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:47.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:48.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:49.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:50.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:51.358+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:52.359+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:53.359+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:54.359+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:55.359+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:56.359+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:57.360+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:58.360+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T19:59:59.360+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T20:00:00.360+0800	info	Info log	{"line": 67, "level": "info"}
2019-06-27T20:00:01.360+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:02.360+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:03.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:04.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:05.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:06.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:07.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:08.361+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:09.362+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:10.362+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:11.362+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:12.362+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:13.362+0800	info	Info log	{"line": 67, "level": "debug"}
2019-06-27T20:00:45.557+0800	info	DefaultLogger init success
